Blog Title,Blog Date,Author Name,Blog Link,Thumbnail Link
"Will we ever get tired of white sneakers? Kareena Kapoor Khan, Alaya F say no ",24 April 2020,Yashna Chopra    Garima Gupta,https://www.vogue.in/fashion/content/celebrities-in-white-sneakers-for-women-kareena-kapoor-khan-alaya-f,https://assets.vogue.in/photos/5ea2c1703711dc00086a06d7/1:1/w_1600%2Cc_limit/kareena%2520kapoor%2520khan%2520shoes.jpg
How the royals have worn the Queen’s heirloom tiaras over the years,24 April 2020,Naomi Pike,https://www.vogue.in/fashion/gallery/how-the-royals-have-worn-the-queen-heirloom-tiaras-princess-diana-kate-middleton-meghan-markle,https://assets.vogue.in/photos/5fd1fbe5627a009203fa47b0/1:1/w_1600%2Cc_limit/Vintage%2520Dresses%2520Princess%2520Bea%2520PA-54649454.jpg
15 stylish movies with costumes made by famous designers ,24 April 2020,Christian Allaire,https://www.vogue.in/fashion/content/15-stylish-movies-with-costumes-made-by-famous-designers,https://assets.vogue.in/photos/5ea26e8d9331e50008bd189c/1:1/w_1600%2Cc_limit/BARBELLA_MMDBARB_EC001.jpg
10 swimwear brands to keep bookmarked for whenever we can travel to beaches again,23 April 2020,Naheed Driver,https://www.vogue.in/fashion/content/swimwear-brands-to-keep-bookmarked-for-whenever-we-can-travel-to-beaches-again,https://assets.vogue.in/photos/5ea16b63c0878800092bae11/1:1/w_1600%2Cc_limit/best%2520swimsuits.jpg
"Outrage isn't enough: 7 years on from the Rana Plaza disaster, here's how we can protect the people who make our clothes",23 April 2020,Emily Chan,https://www.vogue.in/fashion/content/7-years-on-from-the-rana-plaza-disaster-heres-how-we-can-protect-the-people-who-make-our-clothes,https://assets.vogue.in/photos/5ea17b1368ac940008406827/1:1/w_1600%2Cc_limit/003-7-years-Rana-Plaza-VogueGlobe-Getty-Images.jpg
Anne Hathaway made this *Princess Diaries* reference with the pillow challenge,23 April 2020,Alice Newbold,https://www.vogue.in/fashion/content/anne-hathaway-made-this-princess-diaries-reference-with-the-pillow-challenge,https://assets.vogue.in/photos/5ea17bb168ac94000840682b/1:1/w_1600%2Cc_limit/annehathaway_93835919_133696908223689_8544110515855552257_n.jpg
16 pictures that highlight Anushka Sharma’s collection of pretty dresses ,23 April 2020,Yashna Chopra    Garima Gupta,https://www.vogue.in/fashion/content/pictures-anushka-sharma-collection-of-designer-dresses,https://assets.vogue.in/photos/5ea14bf29331e50008bd187d/1:1/w_1600%2Cc_limit/anushka%2520sharma%2520in%2520a%2520dress.jpg
Kareena Kapoor Khan and Priyanka Chopra will convince you to add these floral outfits to your cart right now,22 April 2020,Yashna Chopra,https://www.vogue.in/fashion/content/kareena-kapoor-khan-priyanka-chopra-outfits-floral-dresses-co-ords-skirts,https://assets.vogue.in/photos/5e9ff7f0c0878800092badca/1:1/w_1600%2Cc_limit/Kareena-Kapoor-Khan-in-a%2520floral%2520jumpsuit.jpg
This newly-launched brand uses only pineapple-based leather to create handbags,22 April 2020,Garima Gupta,https://www.vogue.in/fashion/content/this-newly-launched-brand-uses-only-pineapple-based-leather-pinatex-to-create-handbags,https://assets.vogue.in/photos/5ea01c520130f50008eef112/1:1/w_1600%2Cc_limit/MARICHI40194.jpg
"Celebrity inspiration: Sonam Kapoor Ahuja, Anushka Sharma and more on how to ace white-on-white looks",21 April 2020,Garima Gupta,https://www.vogue.in/fashion/content/bollywood-celebrity-inspiration-sonam-kapoor-ahuja-anushka-sharma-white-on-white-looks,https://assets.vogue.in/photos/5e9ebb9b28845e0008c7eca6/1:1/w_1600%2Cc_limit/84064214_182846799651310_7991433742274781835_n.jpg
Everything you need to know about the Bengal cotton handloom tant sari,21 April 2020,Praachi Raniwala,https://www.vogue.in/fashion/content/bengal-cotton-tant-sari-everything-you-need-to-know-about-the-handloom-weave,https://assets.vogue.in/photos/5e8ef84ec0878800092bac65/1:1/w_1600%2Cc_limit/have%2520you%2520heard%2520of%2520TANT%2520saree%25201.jpg
Queen Elizabeth II: 9 decades of royal style in pictures,21 April 2020,Emily Chan,https://www.vogue.in/fashion/gallery/queen-elizabeth-ii-9-decades-of-royal-style-in-pictures,https://assets.vogue.in/photos/5e9ead6228845e0008c7ec93/1:1/w_1600%2Cc_limit/QueenElizabeth-037-vogueint-10apr19-Getty.jpg
5 online courses to take if you want to brush up your fashion business skills,20 April 2020,Praachi Raniwala,https://www.vogue.in/fashion/content/5-online-courses-if-you-want-to-brush-up-your-fashion-business-skills,https://assets.vogue.in/photos/5e9d9b1abc37e0000821718f/1:1/w_1600%2Cc_limit/Natasha.jpg
How Indian designers are rebooting their plans for the post-pandemic consumer,20 April 2020,Garima Gupta,https://www.vogue.in/fashion/content/how-indian-designers-are-rebooting-their-plans-for-the-post-coronavirus-pandemic-world,https://assets.vogue.in/photos/5e9d87af28845e0008c7ec79/1:1/w_1600%2Cc_limit/indian-blue-lehenga-and-choli.jpg
"Priyanka Chopra, Alia Bhatt and more will inspire you to make chaandbalis your go-to traditional accessory",20 April 2020,Yashna Chopra,https://www.vogue.in/fashion/content/pictures-priyanka-chopra-alia-bhatt-bollywood-celebrities-in-chaandbalis,https://assets.vogue.in/photos/5e9d79f528845e0008c7ec74/1:1/w_1600%2Cc_limit/priyanka-chopra-chaandbalis.jpg
"What’s the future of brick-and-mortar Retail? Pete Nordstrom, Pierre-Yves Roussel, and Vittorio Radice discuss",20 April 2020,Steff Yotka,https://www.vogue.in/fashion/content/the-future-of-brick-and-mortar-retail-pete-nordstrom-pierre-yves-roussel-and-vittorio-radice-discuss,https://assets.vogue.in/photos/5e9d53dcc0878800092bad81/1:1/w_1600%2Cc_limit/What%2520the%2520Future%2520of%2520Bricks-and-Mortar%2520Retail.jpg
