Blog Category,Blog Title,Blog Catchphrase,Blog Link,Author Name,Thumbnail Link,keyword_count,Thumbnail Credit,Blog Date,Author Profile Link
,Samant Chauhan at Lotus Make-Up India Fashion Week spring/summer 2021,,https://www.vogue.in/fashion/gallery/lotus-make-up-india-fashion-week-spring-summer-2021-designer-samant-chauhan,Vogue.in,https://assets.vogue.in/photos/5f8aee46d46f966182b9a64d/1:1/w_1600%2Cc_limit/Samant%2520Chauhan%2520at%2520Lotus%2520Make-Up%2520India%2520Fashion%2520Week%2520spring%2520summer%25202021-10.JPG,3,,17 October 2020,
,The Top 7 Winter Fashion Trends to Know Going Into 2022,,https://www.purewow.com/fashion/winter-fashion-trends,,"https://purewows3.imgix.net/images/articles/2021_12/winter_fashion_trends_400.jpg?auto=format,compress&cs=strip",3,GETTY IMAGES,,
,Fashion's Biggest Spring Trend Is Also Its Most Literal,,https://www.instyle.com/fashion/clothing/egg-fashion-trend,,,3,,,
,"Top 29 Current Fashion Trends (2021-2022) – BEST Styles, Tips, Brands",,https://thevou.com/fashion/current-fashion-trends/,Mandy Meyer,https://thevou.com/wp-content/uploads/2021/05/Current-fashion-trends-wtvox.com-Feature-01.jpg,3,,28 October 2021,https://thevou.com/author/mmeyer/
Designer Fashion,"The biggest fashion trends you need to know about for 2022, from 'goddess dressing' to the return of bodycon","The resort collections are a sneak peek into next year, right now",https://www.glamourmagazine.co.uk/article/resort-2022-fashion-trends,Alexandra Fullerton ,https://media.glamourmagazine.co.uk/photos/6138a1cfdc58bfe816d3990f/4:3/w_1600%2Cc_limit/cruise.jpg,3,,,
,10 trends that define the Spring 2022 season,,https://www.vogue.in/fashion/content/10-trends-that-define-the-spring-2022-season,Steff Yotka,https://assets.vogue.in/photos/616e854e5b1891a27019ac41/1:1/w_1600%2Cc_limit/00_promo.jpg,3,,21 October 2021,
,Amaare at Lotus Make-Up India Fashion Week spring/summer 2021,,https://www.vogue.in/fashion/gallery/lotus-make-up-india-fashion-week-spring-summer-2021-designer-amaare,Vogue.in,https://assets.vogue.in/photos/5f8c2e7fd46f966182b9a679/1:1/w_1600%2Cc_limit/Amaare%2520at%2520Lotus%2520Make-Up%2520India%2520Fashion%2520Week%2520spring%2520summer%25202021-7.jpg,3,,18 October 2020,
,Janavi at Lotus Make-Up India Fashion Week spring/summer 2021,,https://www.vogue.in/fashion/gallery/lotus-make-up-india-fashion-week-spring-summer-2021-designer-janavi,Vogue.in,https://assets.vogue.in/photos/5f8c348e077c3eea35ebdcec/1:1/w_1600%2Cc_limit/Janavi%2520at%2520Lotus%2520Make-Up%2520India%2520Fashion%2520Week%2520spring%2520summer%25202021-4.jpg,3,,18 October 2020,
,Spring Fashion Trends According to ‘Queer Eye’ Resident Fashion Expert Tan France,,https://www.purewow.com/fashion/tan-france-spring-fashion-picks,,"https://purewows3.imgix.net/images/articles/2018_03/Tan_France_Queer_Eye_fashion_tips_category.jpg?auto=format,compress&cs=strip&fit=min&w=400&h=290",3,RICH FURY/STRINGER/GETTY IMAGE,,
,Ashish N Soni at Lotus Make-Up India Fashion Week spring/summer 2021,,https://www.vogue.in/fashion/gallery/lotus-make-up-india-fashion-week-spring-summer-2021-designer-ashish-n-soni,Vogue.in,https://assets.vogue.in/photos/5f8be83e077c3eea35ebdcd4/1:1/w_1600%2Cc_limit/Ashish%2520N%2520Soni%2520at%2520Lotus%2520Make-Up%2520India%2520Fashion%2520Week%2520spring%2520summer%25202021-4.JPG,3,,18 October 2020,
,10 Spring Fashion Trends to Put into Rotation Immediately,,https://www.purewow.com/fashion/spring-fashion-trends-2018,,"https://purewows3.imgix.net/images/articles/2018_03/Spring_Fashion_Trends_category.jpg?auto=format,compress&cs=strip&fit=min&w=400&h=290",3,CHRISTIAN VIERIG/GETTY IMAGES,,
,"Mark Our Words, *This* Will Be the Top Fashion Trend of 2022",,https://www.purewow.com/fashion/top-fashion-trend-prediction,,"https://purewows3.imgix.net/images/articles/2021_12/bold_color_trend_2022_CAT.jpg?auto=format,compress&cs=strip",3,GETTY IMAGES,,
,17 Fashion Trends That Are Going to Be Huge This Summer,,https://www.purewow.com/fashion/summer-2018-fashion-trends,,"https://purewows3.imgix.net/images/articles/2018_06/summer_fashion_trends_to_know_400.png?auto=format,compress&cs=strip&fit=min&w=400&h=290",3,THIS TIME TOMORROW,,
,"I’m a Fashion Editor, and Here’s the One Trend I’m Begging You Not to Wear This Summer",,https://www.purewow.com/fashion/heeled-flip-flop-trend,,"https://purewows3.imgix.net/images/articles/2019_05/reformation_heeled_flip_flops_CATEGORY.png?auto=format,compress&cs=strip&fit=min&w=400&h=290",3,REFORMATION,,
,Geisha Designs by Paras & Shalini at Lotus Make-Up India Fashion Week spring/summer 2021,,https://www.vogue.in/fashion/gallery/lotus-make-up-india-fashion-week-spring-summer-2021-designer-geisha-designs-by-paras-and-shalini,Vogue.in,https://assets.vogue.in/photos/5f8be4f131243af9c390ad8d/1:1/w_1600%2Cc_limit/Geisha%2520Designs%2520by%2520Paras%2520&%2520Shalini%2520at%2520Lotus%2520Make-Up%2520India%2520Fashion%2520Week%2520spring%2520summer%25202021-8.jpg,3,,18 October 2020,
